문항번호,문제,해설,답,이미지여부,동영상여부
1,다음 중 총중량 1.5톤 피견인 승용자동차를 4.5톤 화물자동차로 견인하는 경우<br>필요한 운전면허로 바람직하지 않은 것은?<br>① 제1종 대형면허 및 소형견인차면허<br>② 제1종 보통면허 및 대형견인차면허<br>③ 제1종 보통면허 및 소형견인차면허<br>④ 제2종 보통면허 및 대형견인차면허,도로교통법 시행규칙 별표18 총중량 750킬로그램을 초과하는 3톤 이하의 피견인 자동차를<br>견인하기 위해서는 견인하는 자동차를 운전할 수 있는 면허와 소형견인차면허 또는 대형견인<br>차면허를 가지고 있어야 한다.,④,,
2,다음 중 도로교통법상 국제운전면허증 발급을 거부할 수 있는 경우는?<br>① 도로교통법 위반으로 벌점 15점이 부과된 경우<br>② 출입국관리법에 따라 외국으로 출국이 금지된 경우<br>③ 형사사건으로 벌금형을 선고 받고 벌금을 납부하지 않은 경우<br>④ 도로교통법 위반으로 부과된 범칙금을 납부하지 않은 경우(납부기간경과),도로교통법 제98조의 2(국제운전면허증 발급의 제한) 국제운전면허증을 발급받으려는 사람이<br>납부하지 아니한 범칙금 또는 과태료(이 법을 위반하여 부과된 범칙금 또는 과태료를 말한다)<br>가 있는 경우 국제운전면허증 발급을 거부할 수 있다.,④,,
3,시･도경찰청장이 발급한 국제운전면허증의 유효기간은 발급받은 날부터 몇 년인가?<br>① 1년 ② 2년 ③ 3년 ④ 4년,도로교통법 제96조에 따라 국제운전면허증의 유효기간은 발급받은 날부터 1년이다.,①,,
4,"도로교통법상 승차정원 15인승의 긴급 승합자동차를 처음 운전하려고 할 때<br>필요한 조건으로 맞는 것은?<br>① 제1종 보통면허, 교통안전교육 3시간<br>② 제1종 특수면허(대형견인차), 교통안전교육 2시간<br>③ 제1종 특수면허(구난차), 교통안전교육 2시간<br>④ 제2종 보통면허, 교통안전교육 3시간",도로교통법 시행규칙 별표18 승차정원 15인승의 승합자동차는 1종 대형면허 또는 1종 보통<br>면허가 필요하고 긴급자동차 업무에 종사하는 사람은 도로교통법 시행령 제38조의2 제2항<br>에 따른 신규(3시간) 및 정기교통안전교육(2시간)을 받아야 한다.,①,,
5,도로교통법상 연습운전면허의 유효 기간은?<br>① 받은 날부터 6개월 ② 받은 날부터 1년<br>③ 받은 날부터 2년 ④ 받은 날부터 3년,도로교통법 제81조에 따라 연습운전면허는 그 면허를 받은 날부터 1년 동안 효력을 가진다.,②,,
6,도로교통법상 운전면허의 조건 부과기준 중 운전면허증 기재방법으로 바르지<br>않는 것은?<br>① A: 수동변속기 ② E: 청각장애인 표지 및 볼록거울<br>③ G: 특수제작 및 승인차 ④ H: 우측 방향지시기,"도로교통법 시행규칙 제54조(운전면허의 조건 등) 제3항에 의거, 운전면허 조건의 부과기준은<br>별표20<br>A는 자동변속기, B는 의수, C는 의족, D는 보청기, E는 청각장애인 표지 및 볼록거울, F는<br>수동제동기･가속기, G는 특수제작 및 승인차, H는 우측 방향지시기, I는 왼쪽 엑셀레이터이<br>며, 신체장애인이 운전면허시험에 응시할 때 조건에 맞는 차량으로 시험에 응시 및 합격해야<br>하며, 합격 후 해당 조건에 맞는 면허증 발급",①,,
7,승차정원이 11명인 승합자동차로 총중량 780킬로그램의 피견인자동차를 견인하고자<br>한다. 운전자가 취득해야하는 운전면허의 종류는?<br>① 제1종 보통면허 및 소형견인차면허<br>② 제2종 보통면허 및 제1종 소형견인차면허<br>③ 제1종 보통면허 및 구난차면허<br>④ 제2종 보통면허 및 제1종 구난차면허,도로교통법시행규칙 별표1,①,,
8,운전면허 종류별 운전할 수 있는 차에 관한 설명으로 맞는 것 2가지는?<br>① 제1종 대형면허로 아스팔트살포기를 운전할 수 있다.<br>② 제1종 보통면허로 덤프트럭을 운전할 수 있다.<br>③ 제2종 보통면허로 250시시 이륜자동차를 운전할 수 있다.<br>④ 제2종 소형면허로 원동기장치자전거를 운전할 수 있다.,"도로교통법 시행규칙 별표18(운전할 수 있는 차의 종류)에 따라 덤프트럭은 제1종 대형면허,<br>배기량 125시시 초과 이륜자동차는 2종 소형면허가 필요하다.","①, ④",,
9,승차정원이 12명인 승합자동차를 도로에서 운전하려고 한다. 운전자가 취득해야하는<br>운전면허의 종류는?<br>① 제1종 대형견인차면허<br>② 제1종 구난차면허<br>③ 제1종 보통면허<br>④ 제2종 보통면허,"도로교통법 시행규칙 별표18, 제1종 보통면허로 승차정원 15명 이하의 승합자동차 운전가<br>능, ①, ②, ④는 승차정원 10명 이하의 승합자동차 운전가능",③,,
10,"다음 중 제2종 보통면허를 취득할 수 있는 사람은?<br>① 한쪽 눈은 보지 못하나 다른 쪽 눈의 시력이 0.5인 사람<br>② 붉은색, 녹색, 노란색의 색채 식별이 불가능한 사람<br>③ 17세인 사람<br>④ 듣지 못하는 사람","도로교통법 시행령 제45조 제1항 나목에 따라 제2종 운전면허는 18세 이상으로, 두 눈을<br>동시에 뜨고 잰 시력이 0.5 이상(다만, 한쪽 눈을 보지 못하는 사람은 다른 쪽 눈의 시력이<br>0.6 이상이어야 한다.)의 시력이 있어야 한다. 또한 붉은색, 녹색 및 노란색의 색채 식별이<br>가능해야 하나 듣지 못해도 취득이 가능하다.",④,,
